comment,time,vader_scores,vader_compound,vader_label
​ @luismonthez3178  ¿Por qué muchos lo tildan de dictador?,1 year ago (edited),"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
Me quedé con ganas de que tardará más el vídeo es muy interesante y me hubiera gustado mucho que dieras tu opinión sobre la comida que te dieron a probar...,1 year ago,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
luisito comunica yo se que no ves los mensaje espero que vea el mi quiero ser youtube,1 year ago,"{'neg': 0.121, 'neu': 0.879, 'pos': 0.0, 'compound': -0.296}",-0.296,negative
"Los doblajes son extremadamente parecidos.
¿Cuántos idiomas los haces tú mismo? Increíble",1 year ago,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
Un presidente con mano dura es un ejemplos para los padres educar a tus hijos para que no sean unos delincuentes sean gente de bien y respeten sean buenos seres humanos,1 year ago,"{'neg': 0.068, 'neu': 0.932, 'pos': 0.0, 'compound': -0.296}",-0.296,negative
O povo salvadoleno foi libertado.,1 year ago,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
Oye Luisito te sentiste como las feministas empoderada.,1 year ago,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
​ @tavomontana3302  me indigna su comentario,1 year ago (edited),"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
 @victorm777ify  por qué odias a los ricos?,1 year ago (edited),"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
LETHAL CRISIS es un canál real. El tuyo es puro maniqueísmo con explicaciones simplistas. No me sorprendería que el vlogger de LC  hable mejor el inglés además.,1 year ago (edited),"{'neg': 0.22, 'neu': 0.78, 'pos': 0.0, 'compound': -0.7925}",-0.7925,negative
"​ @NeodexGold No la prensa internacional siempre critica por cambiar unas leyes y por reelegirse como presidente ""inconstitucionalmente""",1 year ago (edited),"{'neg': 0.115, 'neu': 0.885, 'pos': 0.0, 'compound': -0.296}",-0.296,negative
 @JESÚSROLDÁN9  Estas demasiado molesto veo que el problema lo tiene otro.,1 year ago (edited),"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
"Cada uno toma su decisión
Escoger lo bueno oh lo malo",1 year ago,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
Impresionante!,1 year ago,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
"😂😂😂😂😂😂😂😂😂😂
Calma dios está con vos",1 year ago,"{'neg': 0.207, 'neu': 0.38, 'pos': 0.413, 'compound': 0.9799}",0.9799,positive
PER FAVORE IO LO BISOGNO IN ITALIANO.,1 year ago,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
No,1 year ago,"{'neg': 1.0, 'neu': 0.0, 'pos': 0.0, 'compound': -0.296}",-0.296,negative
Son víctimas de sus condiciones materiales no digo que esto justifique sus acciones pero sin duda debemos tomarlo en cuenta. Más aún estar conscientes de que siguen siendo seres humanos.,1 year ago,"{'neg': 0.172, 'neu': 0.828, 'pos': 0.0, 'compound': -0.7003}",-0.7003,negative
Soy dominicanapero me siento muy feliz por ustedes porque por fin pueden pasear las calles sin miedo porque sus hijos están segurosfelicitaciones de todo corazón y felicitaciones al presidente Bukele por hacerlo tan bien🎉❤,1 year ago,"{'neg': 0.079, 'neu': 0.769, 'pos': 0.152, 'compound': 0.5106}",0.5106,positive
🎉😂 6:01 😂 6:02 😂 6:02 6:11 😂 6:11 6:12 😂,3 months ago,"{'neg': 0.179, 'neu': 0.414, 'pos': 0.408, 'compound': 0.9451}",0.9451,positive
En ese tiempo me vine yo del Salvador,1 year ago,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
En Colombia hace falta una cárcel como esta.,1 year ago,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
El presidente que Costa Rica necesita en estos momentos el mejor del mundo.  😊,1 year ago,"{'neg': 0.0, 'neu': 0.727, 'pos': 0.273, 'compound': 0.7184}",0.7184,positive
Demasiada información del penal de máxima seguridad del salvador deberias de borrar el vídeo ..!!!,1 year ago,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
Te amo,1 year ago,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
No poes un verdadero castigo  pero ordenado.,6 months ago,"{'neg': 0.268, 'neu': 0.732, 'pos': 0.0, 'compound': -0.296}",-0.296,negative
Gracias luisito yo saque a mis hijos de el salvador de niños por que las pandillas ni los niños perdonaron jamás ❌️ me alegra que paguen por todos sus crímenes y que se pudran en la cárcel,1 year ago,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
"​ @Arbes_  como puede ser uno tan ciego ? 
Ni hablar  la reseta decia una vez a la semana y las de esquizo cada 8 horas",1 year ago,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
 @carlosfrei7318  conozco esos casos pero no entiendo mucho el punto de eso.,1 year ago (edited),"{'neg': 0.167, 'neu': 0.833, 'pos': 0.0, 'compound': -0.296}",-0.296,negative
​ @tavomontana3302  me pica la mano,1 year ago (edited),"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
Hablas muy bien el Ruso,1 year ago,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
No hay derechos humanos en ese país ????,1 year ago,"{'neg': 0.311, 'neu': 0.689, 'pos': 0.0, 'compound': -0.4871}",-0.4871,negative
 @Nikawalni  tu vil fanatismo politiquero es impresionante,1 year ago (edited),"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
 @NeodexGold lo critican los que defienden los derechos humanos según que por el trato que se les da a estas lacras.,1 year ago (edited),"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
Poreso da coraje cuando los gorgojos de la oposición decian que la seguridad mo se come. Que los metan presos a esos corruptos también,1 year ago,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
"​ @tavomontana3302 te faltó decir
Atte:mi familiar marero está adentro era un inocente😢😂",1 year ago (edited),"{'neg': 0.194, 'neu': 0.659, 'pos': 0.147, 'compound': -0.0516}",-0.0516,negative
Felicidades hermano,1 year ago,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
😮😮😮,7 months ago,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
"@VictorABalan ¿Sabes qué necesita LATAM? El mantenimiento usual de cualquier cosa que se construya o servicio que imparta. A Bukele no debería de celebrarse tan temprano por una idea que ha sido llevada a cabo desde cientos de décadas atrás es muy temprana su celebración pues celebrado sería si la prisión permanece en su estado actual.

El problema de la delincuencia no sólo se soluciona con prisiones sino también con la buena estrategia y administración de recursos que un país tenga para mantenerlas yyyyy a su gente....es economía bro es complicada . Apoyar a un político por hacer más cárceles es como pedir que se imprima más dinero XD......es la cuestión administrativa de los recursos para su población que de ser buena tiene que ser aplaudida no sólo una prisión más.",1 year ago,"{'neg': 0.049, 'neu': 0.934, 'pos': 0.018, 'compound': -0.4939}",-0.4939,negative
"😢 ojalá que llegue aquí uno como él se comenta en las esquinas de mi adorada 🏝️ isla del encuentro que ha pasado a ser del espanto 😢!!
Me alegro por todos ustedes..",1 year ago,"{'neg': 0.161, 'neu': 0.782, 'pos': 0.057, 'compound': -0.658}",-0.658,negative
Eso si es una cárcel y un castigo merecido eso faltaen México y latinoamerica un presidente con huevos y es lo que se merecen esos infelices ver si cara atravez de los barrotes me da felicidad,1 year ago,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
Cuales derechos esos ya no tienen ningún derecho ni a vivir,1 year ago,"{'neg': 0.18, 'neu': 0.82, 'pos': 0.0, 'compound': -0.296}",-0.296,negative
Deseo eso también para mi país República Dominicana. Se lo pido a Dios de todo corazón y que esto que hoy El Salvador vive también lo vivan todos los países del Mundo. ❤,12 days ago,"{'neg': 0.0, 'neu': 0.887, 'pos': 0.113, 'compound': 0.6369}",0.6369,positive
Todos los países necesitan algo así solo falta desicion! 👏🏽,4 months ago,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
Soy del salvador y fue desde 1998,1 year ago,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
Eso mismo está pasando ahora mismo en Ecuador 😢 es muy triste y muy fuerte,1 year ago,"{'neg': 0.171, 'neu': 0.829, 'pos': 0.0, 'compound': -0.4767}",-0.4767,negative
si luicito benistes ami pais otravez me ubiera gustado estar el la biblioteca para conoserte,1 year ago,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
Felicidades al presidente bukele a todos los salvadoreños y a todos los que hicieron un buen trabajo en equipo 👏 para que su país este con tranquilidad prosperidad y la paz y pronto tendrán más seguridad de dia y de noche y espero que nuestro mexico este libre  algún día estaremos tranquilos y salir por el día y noche y desaparezca para siempre delincuencia robos crimen organizado corrupción trafico de infantes armas y  drogas  inseguridad  narcotrafico   violencia  secuestro  feminicidios homicidios y asesinatos por favor algún día mexico tendrá la seguridad y prosperidad para que los nuevos ciclos de felicidad lleguen te lo mando de todo corazón ❤ y esta es mi petición y que dios proteja al país centroamericano el salvador 🇸🇻🙏 y que nuestro mexico🇲🇽 pronto llegara la paz saludos desde la comunidad de San Diego de las trasquilas  San José Iturbide Guanajuato 😊,1 year ago,"{'neg': 0.0, 'neu': 0.92, 'pos': 0.08, 'compound': 0.9169}",0.9169,positive
perdio calidad el sonido original,1 year ago,"{'neg': 0.0, 'neu': 0.635, 'pos': 0.365, 'compound': 0.3182}",0.3182,positive
 @luismonthez3178  espero que un dia no tan lejano a Mexico llegue un presidente asi y terminar con tanto crimen organizado que asesinan inocentes.,1 year ago (edited),"{'neg': 0.091, 'neu': 0.909, 'pos': 0.0, 'compound': -0.296}",-0.296,negative
Me aventé todo el video en inglés y después mire el comentario 🙃🤣,1 year ago,"{'neg': 0.0, 'neu': 0.849, 'pos': 0.151, 'compound': 0.4939}",0.4939,positive
"Para un país pequeño se necesitan acciones pequeñas!
No compares a el salvador con México o colombia por qué son muy distintos los casos. Es realmente más difícil mantener el orden en países más grandes... El salvador apenas llega a los 6.3 millones de habitantes mientras que México supera los 130 millones o colombia que supera los 50 millones. Simplemente no hay comparación ni si quiera en el entorno social",1 year ago,"{'neg': 0.065, 'neu': 0.935, 'pos': 0.0, 'compound': -0.5707}",-0.5707,negative
"​ @aracelisfuenmayor6399 los ""derechos humanos""",1 year ago (edited),"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
 @luisantonioperezarredondo1961  déjame ver tienes un familiar que es pandillero y está preso 🤣,1 year ago (edited),"{'neg': 0.0, 'neu': 0.833, 'pos': 0.167, 'compound': 0.4939}",0.4939,positive
"Dijiste la definición  correcta a tu sentir  ""empoderamiento"" me parece que es porque en nuestro hermoso país estamos viviendo y a situación de inseguridad horrible y yo por lo menos pienso desde hace  mucho que aquí debería de ser así no tenemos porque alimentar con nuestros  impuestos a quien nos hace tanto daño físicamente y como Sociedad nos roban la tranquilidad y la libertad y cuando entran a la cárcel salen peor porque entran literal a aprender como perfeccionar más y más sus delitos salen siendo de todo! Así que el hecho de que los separen por peligrosidad  y que ganen sus alimentos es lo mejor que vivan un verdadero encierro que sueño para México que está a merced de tanta delincuencia gracias por mostrarnos esa realidad y lo mucho que ha cambiado ese país",1 year ago,"{'neg': 0.043, 'neu': 0.94, 'pos': 0.017, 'compound': -0.5562}",-0.5562,negative
creo que si a esos locos los vuelven a sacar a la calle no matarian ni una mosca,1 year ago,"{'neg': 0.115, 'neu': 0.885, 'pos': 0.0, 'compound': -0.296}",-0.296,negative
Viva El Salvador!,1 year ago,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
"No estoy defendiendo a los delincuentes. 
Estoy lejos de eso.
Pero creo que Bukele no tendrá presupuesto para atender a tanto enfermo. No puedes tener a seres humanos durmiendo en camas de cemento por años.
Tampoco alimentarlos de ese modo. 
Seguro que ellos alimentas odio rencor 6 deseos de venganza. 
Creo que esta cárcel es una muestra de inhumanidad.
Puedes tenerlos presos y hacerlos pagar sus delitos pero habrá muchas formas de hacerlos útiles a la sociedad.",1 year ago,"{'neg': 0.082, 'neu': 0.918, 'pos': 0.0, 'compound': -0.6808}",-0.6808,negative
Sin duda si el crimen en mexico sigue así abra un secot like si crees lo mismo👍,1 year ago,"{'neg': 0.156, 'neu': 0.736, 'pos': 0.108, 'compound': -0.2732}",-0.2732,negative
Viva BUKELE!!!👏🏼👏🏼👏🏼👏🏼,1 year ago,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
"Mis respectos para ese presidente
En México necesitamos algo así.",1 year ago,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
Esta genial la IA en japonés Luisillo ✌️,1 year ago,"{'neg': 0.0, 'neu': 0.741, 'pos': 0.259, 'compound': 0.4215}",0.4215,positive
Todos cometemos errores en esta vida no deberían vivir así...ni un colchón para dormir bien dónde esta. Los derech9s humanos,1 year ago,"{'neg': 0.104, 'neu': 0.896, 'pos': 0.0, 'compound': -0.296}",-0.296,negative
Una reelección ilegal y pagarle a un youtuber propaganda punitivista. No pos wow.,1 year ago,"{'neg': 0.421, 'neu': 0.579, 'pos': 0.0, 'compound': -0.7409}",-0.7409,negative
Vente a panamá luisito visita una cárcel de Panamá filma Panamá,1 year ago,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
 @LuisMarioMolinavinces es muy difícil cuando no hay oportunidades eso está claro más en Latinoamérica pero tampoco justifica los asesinatos violaciones y demás crímenes que cometieron.,1 year ago (edited),"{'neg': 0.084, 'neu': 0.916, 'pos': 0.0, 'compound': -0.296}",-0.296,negative
​ @tavomontana3302  Ellos eligieron matar a otras personas se merecen su castigo actual aparte tampoco los están golpeando u agrediendo solo los privaron de su libertad en extremo,1 year ago (edited),"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
Está  bien así deberían ser las cárceles en  México y los anexos  que no están regulados y comen bien hay gente En el mundo que mueren de hambre.. así debería ser también para los malos funcionarios,1 year ago,"{'neg': 0.059, 'neu': 0.941, 'pos': 0.0, 'compound': -0.296}",-0.296,negative
 @tavomontana3302 yo estuve viviendo en El Salvador y todo mundo me decía que encerraron a un montón de inocentes 🫣 claro que hay personas de las pandillas perooo muchas personas me comentaron eso,1 year ago (edited),"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
Lo que perdio el salvador se lo paso a peru en delincuensia jaja,4 months ago,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
Cuando yo fui donde mi abuela mi tío vive al lado de ella osea tiene la casa a la par de mi abu ya era de noche como las 11 algo por ahí le dispararon ala puerta de mi tío y salimos a ver y vimos a alguien corriendo pero no supimos quien era menos mal no le cayo a nadie la bala,1 year ago,"{'neg': 0.067, 'neu': 0.933, 'pos': 0.0, 'compound': -0.5267}",-0.5267,negative
​@jorgeroldan3596 Personas inocentes? Realmente crees que es tan fácil cuando hay investigaciones evidencias e incluso los mismos presos contienen tatuajes de sus bandas criminales???,1 year ago,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
​,1 year ago,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
Necesita! pero jamás sería una realidad.jamás ni en mil vidas podría un presidente como bukele gobernar de esa forma a un País como México u otros países 😂🤣🤣,1 year ago,"{'neg': 0.038, 'neu': 0.754, 'pos': 0.208, 'compound': 0.8622}",0.8622,positive
EL doblaje en Ingles esta Bien culey con TU voz luisito it sounds horrible AF N irritating 😂😂,1 year ago,"{'neg': 0.265, 'neu': 0.54, 'pos': 0.195, 'compound': -0.1779}",-0.1779,negative
Ese es un buen uso de la inteligencia artificial.,1 year ago,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
En ruso que cagado de risa 2:56,1 year ago,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
Soy de Ecuador. Yo creo que la seguridad es una de las cosas más importantes porque de verdad sea como sea no hay mejor cosa   que poder salir con tranquilidad por las calles sin tener ansiedad de que pase algo y realmente espero que acá tambn pueda mejorar eso un gran ejemplo para los demás países.,1 year ago,"{'neg': 0.097, 'neu': 0.903, 'pos': 0.0, 'compound': -0.7003}",-0.7003,negative
Hay personas que están ahí solo por estar en contra de Bukele por si no sabían. 🤔🤔,1 year ago,"{'neg': 0.104, 'neu': 0.896, 'pos': 0.0, 'compound': -0.296}",-0.296,negative
Si pero solo es en el centro del.pais  todos los pandilleros se han ido a los pueblos estan haciendo de las suyas ahi,1 year ago,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
 @belmondfringzgonzalez2999  Se necesita un   Bukele en cada país latino,1 year ago (edited),"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
Veeeeeersos 😮😮😮 14 millones en 4 días muy bieneh visto montón de tus videosno me suscribo a nadie porque no me gusta pero estoy sorprendida 😮de cuántas visitas 👍,1 year ago,"{'neg': 0.049, 'neu': 0.951, 'pos': 0.0, 'compound': -0.296}",-0.296,negative
Yo nací en el 2014 y en esos tiempos hera baby soy del 8 de mayo,6 months ago,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
Y el mundo. Ahí si keremos globalismo Bukele,1 year ago,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
​ @tavomontana3302 los ricos sin sus esclavos no son nada .. tranquilo los esclavos saben a lo que se meten y NO PORQUE SEAN POBRES ... De eso dale gracias a la ingenuidad y a la ignorancia social establecida por el miedo y control de TERCEROS la vida FUE más que bella para quienes fueron asesinados tu en cambio vives en el odio y mal gastas tu vida .. una vida muy corta,1 year ago (edited),"{'neg': 0.111, 'neu': 0.889, 'pos': 0.0, 'compound': -0.8286}",-0.8286,negative
Me da mucho gusto por el Salvador. Que sean muy felices y estén seguros.,1 year ago,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
Necesitas leer e informarte un poco más antes de escribir comentarios pendejos lmao,1 year ago,"{'neg': 0.0, 'neu': 0.755, 'pos': 0.245, 'compound': 0.5994}",0.5994,positive
4:57 4:57 😂😂 4:58 😂,3 months ago,"{'neg': 0.196, 'neu': 0.412, 'pos': 0.392, 'compound': 0.8271}",0.8271,positive
Happy you have freedom now.,1 year ago,"{'neg': 0.0, 'neu': 0.275, 'pos': 0.725, 'compound': 0.836}",0.836,positive
 @tavomontana3302 lamentanblemente ninguna reforma será perfecta para alcanzar el éxito será necesario (es una pena) que paguen inocentes,1 year ago (edited),"{'neg': 0.0, 'neu': 0.876, 'pos': 0.124, 'compound': 0.34}",0.34,positive
Oraleeeeeee chidooooooo,1 year ago,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,neutral
Hay muchos que viven en El Salvador y se viven quejando de Bukele y la manera que él ha hecho las cosas. Me imagino que son familiares de los pandilleros y por eso se quejan. De lo contrario no tendría sentido estar infeliz por el progreso que ha tenido todo el país. Me intriga mucho porque la mayoría son jóvenes que están en contra no me cabe en la cabeza como preferirían caminar por la calle con miedo a que algo les pase. Pero bueno no se puede hacer cambiar de opinión a fuerzas. Que Bukele siga haciendo lo suyo🙏🏻🙏🏻🙏🏻,1 year ago,"{'neg': 0.054, 'neu': 0.906, 'pos': 0.04, 'compound': -0.2023}",-0.2023,negative
 @SmaiquelCubilloRivera  para que no se peguen piojos,1 year ago (edited),"{'neg': 0.268, 'neu': 0.732, 'pos': 0.0, 'compound': -0.296}",-0.296,negative
Ugh.,1 year ago,"{'neg': 1.0, 'neu': 0.0, 'pos': 0.0, 'compound': -0.4215}",-0.4215,negative
Se nota que no has investigado nada. Te invito a que revises el programa Central de Radio Ambulante y comprendas cómo el estado de excepción y el negociar con las mafias no significa luchar contra la delincuencia.,1 year ago,"{'neg': 0.112, 'neu': 0.888, 'pos': 0.0, 'compound': -0.5267}",-0.5267,negative
